ID,name_en,name_cz,src_en,src_cz,desc_cz,desc_en,common,hard,hard_tol,spgrav,spgrav_tol,color,group_id,formula,test
266,Graftonite,Graftonit,,,,,0,,0,,0,,7,,
267,Greenockite,Greenockit,,https://cs.wikipedia.org/wiki/Greenockit,,,1,,0,,0,,2,,
268,Grout,Groutit,,,,,0,,0,,0,,4,,
269,Grunerite,Grunerit,,,,,0,,0,,0,,8,,
270,Guerinite,Guerinit,,,,,0,,0,,0,,7,,
271,Gummy,Gummit,,,,,0,,0,,0,,8,,
272,Gyrolite,Gyrolit,,,,,0,,0,,0,,8,,
273,Hagendorfite,Hagendorfit,,,,,0,,0,,0,,7,,
274,Halite,Halit,,https://cs.wikipedia.org/wiki/Halit,,,1,2,0,,0,"bílá, našedlá, narůžovělá,namodralá, fialová aj.",3,NaCl,
275,Halloysite,Halloysit,,,,,0,,0,,0,,8,,
276,Hambergite,Hambergit,,,,,0,,0,,0,,5,,
277,Hannayit,Hannayit,,,,,0,,0,,0,,7,,
278,Hannebachite,Hannebachit,,,,,0,,0,,0,,6,,
279,Harmot,Harmotom,,,,,0,,0,,0,,8,,
280,Hauerit,Hauerit,,,,,0,,0,,0,,2,,
281,Hauyne,Hauyn,https://en.wikipedia.org/wiki/Hauyne,https://cs.wikipedia.org/wiki/Ha%C3%BCyn,,,0,5.75,0.25,,0,"sytě modrá, zřídka žlutá, bílá, šedá, zelená a někdy i červená",8,Na3Ca(Si3Al3)O12(SO4),
282,,nahradit1,,,,,0,,0,,0,,1,,
283,Hedenbergite,Hedenbergit,,,,,0,,0,,0,,8,,
284,Heinrichite,Heinrichit,,,,,0,,0,,0,,7,,
285,Heliodorus,Heliodor,,,,,0,,0,,0,,8,,
286,Heliophyllite,Heliofylit,,,,,0,,0,,0,,4,,
