ID,aplikace,portable,platform,firma,web,popis,verze,kategorie,licence,testfield,aktualizovat
241,Tesseract,,uni,,https://github.com/tesseract-ocr/tesseract,ocr,,2,,,0
242,RipMe,,lnx,,https://github.com/RipMeApp/ripme,image download,,5,,,0
243,GoTTY,,lnx,,https://github.com/yudai/gotty,share terminal,,,,,0
244,Sohag Developer,,uni,,http://sohag-developer.com/,database design,,8,,,0
245,Browsh,,lnx,,https://www.brow.sh/,web browser remote,,,,,0
246,QXGEdit,,lnx,,https://github.com/rncbc/qxgedit,midi sequencer,,2,,,0
247,Jitsi meet,,uni,,https://github.com/jitsi/jitsi-meet-electron,communication,,2,,,0
248,Astroffers,,uni,,https://github.com/jayhasyee/astroffers,astronomy,,4,,,0
249,StarUML,,uni,,http://staruml.io/,modelling,,8,,,0
250,MindForger,,lnx,,http://www.mindforger.com/,mind map,,,,,0
251,Terminus,,uni,,https://eugeny.github.io/terminus/,terminal,,,,,0
252,TcpView,,uni,,https://github.com/chipmunk-sm/tcpview,connections,,,,,0
253,Minetime,,uni,,https://minetime.ai/,calendar,,,,,0
254,Appium,,uni,,https://github.com/appium/appium,test,,,,,0
255,Treeline,,uni,,http://treeline.bellz.org/,note taking,,1,,,0
256,CapacityTester,,uni,,https://github.com/c0xc/CapacityTester/releases,disk analyzer,,4,0,,0
257,Slang,,uni,,https://tryslang.com/,,,,,,0
258,MailSlurper,,uni,,http://mailslurper.com/,email debug,,1,,,0
259,LockHunter,,win,,https://lockhunter.com/,unlock files,,,,,0
260,Iannix,,uni,,https://www.iannix.org/en/,graphic sequencer,,2,,,0
261,Fucking Fast File-Manager,,lnx,,https://github.com/dylanaraps/fff/,file manager,,,,,0
262,SU2,,uni,,https://su2code.github.io/,Computational analysis,,4,0,,0
263,SALOME,,uni,,http://www.salome-platform.org/,Computational analysis,,4,,,0
264,Komorebi,,lnx,,https://github.com/cheesecakeufo/komorebi,wallpaper manager,,,,,0
265,Dayon!,,uni,,https://retgal.github.io/Dayon/index.html,RDP client,,,,,0
266,PhotoFlare,,uni,,http://photoflare.io/,photo editor,,2,,,0
267,BitWarden,,uni,,https://bitwarden.com/,password manager,,7,,,0
268,ButterCup,,uni,,https://buttercup.pw/,password manager,,7,,,0
269,Enpass,,uni,,https://www.enpass.io/,password manager,,7,,,0
270,Crossdirstat,,uni,,https://github.com/Jelmerro/crossdirstat/,disk analyzer,,4,0,,0
271,Wmderland,,lnx,,https://github.com/aesophor/Wmderland,window manager,,,,,0
272,ncdu,,lnx,,https://dev.yorhel.nl/ncdu,disk analyzer,,4,0,,0
273,duc,,lnx,,https://duc.zevv.nl/,disk analyzer,,4,,,0
274,Radare2,,uni,,http://www.radare.org/,reverse engineering,,,,,0
275,MIDI Visualizer,,uni,,https://github.com/kosua20/MIDIVisualizer,midi,,2,,,0
276,Olive,,uni,,https://www.olivevideoeditor.org/,video editor,,2,,,0
277,Polar,,uni,,https://getpolarized.io/download.html,document manager,,,,,0
278,Memtest86,,win,,https://www.memtest86.com/,,,4,,,0
279,Squirrel SQL,,uni,,http://www.squirrelsql.org/,database client,,8,,,0
280,cmder,,win,,https://cmder.net/,terminal emulator,,,,,0
281,Open broadcaster,,uni,,https://obsproject.com/,video recorder,,2,,,0
282,Tachiyomi,,and,,https://tachiyomi.org/download/,ebook reader,,1,,,0
283,VSCode,0,uni,Microsoft,https://code.visualstudio.com/Download,IDE,,1,0,,1
284,SQLite Browser,,uni,,https://sqlitebrowser.org/dl/,database client,,8,,,1
285,Node.js,,uni,,https://nodejs.org/en/download/,programming language,,5,,,1
286,Obsidian,,uni,,https://obsidian.md/download,note taking markdown,,1,,,1
287,Tagscanner,,win,,https://www.xdlab.ru/en/download.htm,ID3 tagger,,2,,,1
288,Free Mind,,uni,,,Mindmap,,,,,0
289,GPS Babel,,uni,,https://www.gpsbabel.org/download.html,GPS format converter,,3,0,,0
290,Java Runtime Environment,,uni,Oracle,https://www.oracle.com/java/,programming language,,5,,,1
291,Xming,,win,,http://www.straightrunning.com/XmingNotes/,X display,,2,,,1
292,WinSCP,,win,,https://winscp.net/eng/index.php,SCP client,,,,,1
293,Muon,,,,https://github.com/subhra74/snowflake/,SCP client,,,,,0
294,bashtop,,lnx,,https://github.com/aristocratos/bashtop/,process monitor,,,,,0
295,SubtitId,,uni,,https://subtitld.jonata.org/,titulky,,,,,0
296,Schemaspy,,uni,,http://schemaspy.org/,database design,,8,,,0
297,JSONedit,,win,,https://tomeko.net/software/JSONedit/,JSON editor,,1,,,0
298,eXtrema,,uni,,https://www.physics.brocku.ca/Labs/extrema/download.php,disk analyzer,,4,0,,0
299,Cryptofolio,,uni,,https://github.com/Xtrendence/Cryptofolio/releases,cryptocurrency,,,,,0
300,MedTest,,lnx,,https://github.com/medpaf/medsec/,network monitor,,4,,,0
301,ghostwriter,,lnx,,https://ghostwriter.kde.org/,note taking markdown,,1,,,0
302,OSDQ Desktop,,uni,,https://github.com/arrahtech/osdq-desktop,data preparation,,8,,,0
303,Bouml,,uni,,https://bouml.fr/download.html,database design,,8,,,0
304,RapidMiner Studio,,uni,,https://my.rapidminer.com/nexus/account/index.html#downloads,data analyzer,,8,,,0
305,OneNote,,win,Microsoft,https://www.onenote.com/Download,note taking,,1,,,1
306,DbSchema,,uni,,https://dbschema.com/download.html,database design,,8,,,0
307,Geosetter,,win,,https://geosetter.de/en/download-en/,geo tagger,,3,,,0
308,OBS Studio,,uni,,https://obsproject.com/,screen recorder,,2,,,0
309,Rambox,,uni,,https://rambox.app/download,message broker,,,,,0
310,Pynsource,,uni,,https://pynsource.com/download.html,python code visualizer,,,,,0
311,Maltego,,uni,,https://www.maltego.com/downloads/,research,,4,,,
312,HTTRACK Website copier,1,uni,,http://www.httrack.com/page/2/,website copier,,1,0,,0
313,Metagoofil,,uni,,https://github.com/laramies/metagoofil,metadata harvester,,5,,,
314,Symmetric-ds,,uni,,https://www.symmetricds.org/,synchronizer,,,,,0
315,KDdiff3,,uni,,http://kdiff3.sourceforge.net/,synchronizer,,,,,
316,Synfig Studio,,uni,,https://www.synfig.org/download-stable/,2D animation,,,,,0
317,HammerDB,,uni,,https://www.hammerdb.com/download.html,database benchmark,,8,,,0
318,XMind,,uni,,https://www.xmind.net/download/,Mind map,,,,,0
319,Amaya,,uni,,https://www.w3.org/Amaya/User/BinDist.html,IDE web,,1,,,0
320,DraftSight,,uni,,https://www.draftsight.com/support/draftsight-download,,,,,,
321,Ditto,1,win,,https://ditto-cp.sourceforge.io/,Clipboard manager,,,,,
322,UnixUtils,1,win,,http://unxutils.sourceforge.net/,Utility pro windows,,,,,0
323,WinMerge,,win,,https://winmerge.org/downloads/?lang=en,text comparison,,,,,
324,XiMpLe,,win,,http://www.ximple.cz/download.php,XML editor,,,,,1
325,DiffMerge,,uni,,https://www.sourcegear.com/diffmerge/downloads.html,synchronizer,,,,,
326,Fritzing,,uni,,https://fritzing.org/download/,electronics,,,,,0
327,Milky tracker,,uni,,https://milkytracker.org/downloads/,music editor,,2,,,0
328,OpenJUMP,,uni,,http://www.openjump.org/,GIS,,3,,,
329,Pinta,,uni,,https://www.pinta-project.com/releases/,painting,,,,,0
330,Rosegarden,,lnx,,https://rosegardenmusic.com/,midi sequencer,,,,,0
331,Schism Tracker,,uni,,http://schismtracker.org/,music editor,,2,,,0
332,Scribus,,uni,,https://www.scribus.net/downloads/,publishing,,,,,0
333,XnView,,win,,https://www.xnview.com/en/xnview/#downloads,image viewer,,,,,
334,Loqseq,,uni,,https://github.com/logseq/logseq/releases,note taking markdown,,1,,,
335,PostGIS,,uni,,https://postgis.net/,GIS addon,,3,,,0
336,Orfeo ToolBox,,uni,,https://www.orfeo-toolbox.org/download/,GIS raster process,,3,,,
337,GeoDa,,uni,,http://geodacenter.github.io/download.html,GIS,,3,,,
