ID,name_lat,alts,name_cz,name_sk,Nazev_lidovy,Celed,Vyznam,Obrazek,Botanik_char,Oblast,Narok_char,Sklizen_uprava,Uziti,Uzitek,Typ,Barva,Temp
1938,Melampyrum nemorosum L.,,černýš hajní,,,Orobanchaceae,0,,,,,,,,,,Orobanchaceae
1939,Melampyrum nemorosum var. nemorosum,,černýš hajní pravý,,,Orobanchaceae,0,,,,,,,,,,Orobanchaceae
1940,Melampyrum pratense L.,,černýš luční,,,Orobanchaceae,0,,,,,,,,,#ffd700,Orobanchaceae
1941,Melampyrum sylvaticum L. ,,černýš lesní,,,Orobanchaceae,0,,,,,,,,,,Orobanchaceae
1942,Melica altissima L. ,,strdivka vysoká,,,Poaceae,0,,,,,,,,,,Poaceae
1943,Melica ciliata L. ,,strdivka brvitá,,,Poaceae,0,,,,,,,,,,Poaceae
1944,Melica nutans L. ,,strdivka nicí,,,Poaceae,0,,,,,,,,,,Poaceae
1945,Melica picta K. Koch,,strdivka zbarvená,,,Poaceae,0,,,,,,,,,,Poaceae
1946,Melica transsilvanica Schur,,strdivka sedmihradská,,,Poaceae,0,,,,,,,,,,Poaceae
1947,Melica uniflora Retz.,,strdivka jednokvětá,,,Poaceae,0,,,,,,,,,,Poaceae
1948,Melilotus albus Medik. ,,komonice bílá,,,Fabaceae,0,,,,,,,,,,Fabaceae
1949,Melilotus altissimus Thuill. ,,komonice nejvyšší,,,Fabaceae,0,,,,,,,,,,Fabaceae
1950,Melilotus indicus (L.) All. ,,komonice indická,,,Fabaceae,0,,,,,,,,,,Fabaceae
1951,Melilotus dentatus (Waldst. et Kit.) Pers.,Syn.: Melilotus macrorrhizus (Waldst. et Kit.) Pers.,komonice zubatá,,,Fabaceae,0,,,,,,,,,,Fabaceae
1952,Melilotus messanensis (L.) All.,,komonice sicilská,,,Fabaceae,0,,,,,,,,,,Fabaceae
